id,line,route_id,vehicle_type,bearing,delay,longitude,latitude,last_update
3322,32,4904,1,45,0,16.58662,49.221867,2025-03-09T07:51:29.707Z
1207,10,4007,0,180,0,16.672371,49.202751,2025-03-09T07:51:29.707Z
21253,540,201,4,0,0,16.715761,48.924492,2025-03-09T07:51:29.707Z
3627,33,4011,1,0,0,16.690243,49.18195,2025-03-09T07:51:29.707Z
1924,9,4027,0,180,0,16.615511,49.216122,2025-03-09T07:51:29.707Z
21911,910,202,4,180,0,17.338989,48.922077,2025-03-09T07:51:29.707Z
2683,50,4015,2,90,0,16.59733,49.163315,2025-03-09T07:51:29.707Z
1114,1,4033,0,315,0,16.571842,49.1931,2025-03-09T07:51:29.707Z
21986,702,314,4,270,3,16.631554,49.190014,2025-03-09T07:51:29.707Z
2682,44,4015,2,135,3,16.576994,49.184189,2025-03-09T07:51:29.707Z
30211,S31,14902,5,315,0,16.126377,49.561333,2025-03-09T07:51:29.709Z
21506,301,205,4,45,5,16.574381,49.376095,2025-03-09T07:51:29.709Z
21181,611,204,4,0,0,16.85471,49.08252,2025-03-09T07:51:29.709Z
3632,26,4012,1,180,0,16.627645,49.21735,2025-03-09T07:51:29.709Z
21050,251,214,4,180,0,16.711636,49.63266,2025-03-09T07:51:29.708Z
21354,655,266,4,45,0,16.962833,49.015129,2025-03-09T07:51:29.707Z
21792,153,421,4,180,1,16.364578,49.104221,2025-03-09T07:51:29.709Z
17206,261,281,4,270,0,16.973495,49.467415,2025-03-09T07:51:29.709Z
21660,161,101,4,90,0,16.518661,49.166874,2025-03-09T07:51:29.709Z
30093,S9,4206,5,225,3,17.314911,48.977386,2025-03-09T07:51:29.709Z
1562,6,4018,0,0,1,16.600845,49.213589,2025-03-09T07:51:29.709Z
1927,6,4031,0,180,0,16.594849,49.230721,2025-03-09T07:51:29.709Z
7076,52,4009,2,135,0,16.508276,49.219158,2025-03-09T07:51:29.709Z
21804,643,271,4,180,0,17.001514,49.148144,2025-03-09T07:51:29.709Z
21709,222,207,4,270,0,16.648861,49.366238,2025-03-09T07:51:29.709Z
1827,5,4017,0,225,1,16.614405,49.201229,2025-03-09T07:51:29.709Z
3626,36,4009,1,180,0,16.604574,47.0,2025-03-09T07:51:29.709Z
7082,57,4017,2,90,1,16.627384,49.214828,2025-03-09T07:51:29.709Z
1907,12,3024,0,0,1,16.603662,49.196411,2025-03-09T07:51:29.709Z
21972,411,102,4,45,0,16.351063,49.322079,2025-03-09T07:51:29.707Z
21712,313,203,4,135,0,16.516645,49.413609,2025-03-09T07:51:29.707Z
21194,822,238,4,270,0,16.337589,48.870224,2025-03-09T07:51:29.707Z
1918,3,4015,0,270,0,16.560888,49.21307,2025-03-09T07:51:29.707Z
